;Indice;Valutazione ChatGTP;Answer_ChatBot_Model_Distil_dot (notBest);Valutazione_ChatBot_Distil_dot;Answer_ChatBot_Model_dist_eu;Valutazione_ChatBot_dist_eu;Answer_ChatBot_Model_all_euc;Valutazione_ChatBot_all_euc;Answer_ChatBot_Model_all_euc_weight;Valutazione_ChatBot_all_euc_weight;Answer_ChatBot_Model_all_eu_weight_local;Valutazione_ChatBot_all_euc_weight_local;Answer_ChatBot_Model_all_eu_25;Valutazione_ChatBot_all_eu_25;Domanda ChatGTP;Risposta ChatGTP;Answer_ChatBot_Model_base_dot;Valutazione_ChatBot_base_dot;Answer_ChatBot_Model_base_dot_weight;Valutazione_ChatBot_base_dot_weight;Answer_ChatBot_Model_base_dot_weight_local;Valutazione_ChatBot_base_dot_weight_local
0;0;G;Pool and Fitness Room hours and guidelines are provided at check in.;G;Pool and Fitness Room hours and guidelines are provided at check in.;G;Pool and Fitness Room hours and guidelines are provided at check in.;G;Pool and Fitness Room hours and guidelines are provided at check in.;G;Pool and Fitness Room hours and guidelines are provided at check in.;G;Pool and Fitness Room hours and guidelines are provided at check in.;G;What information is provided at check-in regarding Pool and Fitness Room hours and guidelines?;Pool and Fitness Room hours and guidelines are provided at check-in.;Pool and Fitness Room hours and guidelines are provided at check in.;G;Pool and Fitness Room hours and guidelines are provided at check in.;G;Pool and Fitness Room hours and guidelines are provided at check in.;G
1;0;G;As the adult(s) are responsible for safety and welfare of the youth, we think that you will find these guidelines helpful and reasonable.;G;As the adult(s) are responsible for safety and welfare of the youth, we think that you will find these guidelines helpful and reasonable.;G;As the adult(s) are responsible for safety and welfare of the youth, we think that you will find these guidelines helpful and reasonable.;G;As the adult(s) are responsible for safety and welfare of the youth, we think that you will find these guidelines helpful and reasonable.;G;As the adult(s) are responsible for safety and welfare of the youth, we think that you will find these guidelines helpful and reasonable.;G;As the adult(s) are responsible for safety and welfare of the youth, we think that you will find these guidelines helpful and reasonable.;G;Who is responsible for the safety and welfare of the youth according to the guidelines?;The adult(s) are responsible for the safety and welfare of the youth according to the guidelines.;As the adult(s) are responsible for safety and welfare of the youth, we think that you will find these guidelines helpful and reasonable.;G;As the adult(s) are responsible for safety and welfare of the youth, we think that you will find these guidelines helpful and reasonable.;G;As the adult(s) are responsible for safety and welfare of the youth, we think that you will find these guidelines helpful and reasonable.;G
2;0;G;Elevators are to be used for the sole purpose of transporting guests and their luggage to the appropriate floor of the hotel.;G;Elevators are to be used for the sole purpose of transporting guests and their luggage to the appropriate floor of the hotel.;G;Elevators are to be used for the sole purpose of transporting guests and their luggage to the appropriate floor of the hotel.;G;Elevators are to be used for the sole purpose of transporting guests and their luggage to the appropriate floor of the hotel.;G;Elevators are to be used for the sole purpose of transporting guests and their luggage to the appropriate floor of the hotel.;G;Elevators are to be used for the sole purpose of transporting guests and their luggage to the appropriate floor of the hotel.;G;What is the specified purpose of using elevators in the hotel?;Elevators are to be used for the sole purpose of transporting guests and their luggage to the appropriate floor of the hotel.;Elevators are to be used for the sole purpose of transporting guests and their luggage to the appropriate floor of the hotel.;G;Elevators are to be used for the sole purpose of transporting guests and their luggage to the appropriate floor of the hotel.;G;Elevators are to be used for the sole purpose of transporting guests and their luggage to the appropriate floor of the hotel.;G
3;0;G;There is a dress code for the food and beverage areas in the hotel.;G;There is a dress code for the food and beverage areas in the hotel.;G;There is a dress code for the food and beverage areas in the hotel.;G;There is a dress code for the food and beverage areas in the hotel.;G;There is a dress code for the food and beverage areas in the hotel.;G;There is a dress code for the food and beverage areas in the hotel.;G;Is there a dress code for the food and beverage areas in the hotel?;Yes, there is a dress code for the food and beverage areas in the hotel.;There is a dress code for the food and beverage areas in the hotel.;G;There is a dress code for the food and beverage areas in the hotel.;G;There is a dress code for the food and beverage areas in the hotel.;G
4;0;G;Towels for the Fitness Room and Pool are located in those areas.;G;Towels for the Fitness Room and Pool are located in those areas.;G;Towels for the Fitness Room and Pool are located in those areas.;G;Towels for the Fitness Room and Pool are located in those areas.;G;Towels for the Fitness Room and Pool are located in those areas.;G;Towels for the Fitness Room and Pool are located in those areas.;G;Where can towels for the Fitness Room and Pool be found?;Towels for the Fitness Room and Pool are located in those areas.;Towels for the Fitness Room and Pool are located in those areas.;G;Towels for the Fitness Room and Pool are located in those areas.;G;Towels for the Fitness Room and Pool are located in those areas.;G
5;0;G;Smoking in a non-smoking room will result in an additional $250.00 cleaning charge.;G;Smoking in a non-smoking room will result in an additional $250.00 cleaning charge.;G;Smoking in a non-smoking room will result in an additional $250.00 cleaning charge.;G;Smoking in a non-smoking room will result in an additional $250.00 cleaning charge.;G;Smoking in a non-smoking room will result in an additional $250.00 cleaning charge.;G;Smoking in a non-smoking room will result in an additional $250.00 cleaning charge.;G;What is the consequence for smoking in a non-smoking room?;Smoking in a non-smoking room will result in an additional $250.00 cleaning charge.;Smoking in a non-smoking room will result in an additional $250.00 cleaning charge.;G;Smoking in a non-smoking room will result in an additional $250.00 cleaning charge.;G;Smoking in a non-smoking room will result in an additional $250.00 cleaning charge.;G
6;0;S;Pool and Fitness Room hours and guidelines are provided at check in.;G;Pool and Fitness Room hours and guidelines are provided at check in.;G;Pool and Fitness Room hours and guidelines are provided at check in.;G;Pool and Fitness Room hours and guidelines are provided at check in.;G;Pool and Fitness Room hours and guidelines are provided at check in.;G;Pool and Fitness Room hours and guidelines are provided at check in.;G;How are the rules and times for the Pool and Fitness Room enforced?;All rules and times for the Pool and Fitness Room will be enforced to allow efficient operation of the hotel and for the comfort and safety of all guests.;Pool and Fitness Room hours and guidelines are provided at check in.;G;Pool and Fitness Room hours and guidelines are provided at check in.;G;Pool and Fitness Room hours and guidelines are provided at check in.;G
7;0;G;Any guest in violation of these rules may be asked to leave the hotel with no refund.;G;Any guest in violation of these rules may be asked to leave the hotel with no refund.;G;Any guest in violation of these rules may be asked to leave the hotel with no refund.;G;Any guest in violation of these rules may be asked to leave the hotel with no refund.;G;Any guest in violation of these rules may be asked to leave the hotel with no refund.;G;Any guest in violation of these rules may be asked to leave the hotel with no refund.;G;What is the consequence for a guest in violation of the rules?;Any guest in violation of these rules may be asked to leave the hotel with no refund.;Any guest in violation of these rules may be asked to leave the hotel with no refund.;G;Any guest in violation of these rules may be asked to leave the hotel with no refund.;G;Any guest in violation of these rules may be asked to leave the hotel with no refund.;G
8;0;G;No room keys will be issued to youth under 18 at any time.;G;No room keys will be issued to youth under 18 at any time.;G;No room keys will be issued to youth under 18 at any time.;G;No room keys will be issued to youth under 18 at any time.;G;No room keys will be issued to youth under 18 at any time.;G;No room keys will be issued to youth under 18 at any time.;G;Are room keys issued to youth under 18 at any time?;No, room keys will not be issued to youth under 18 at any time.;No room keys will be issued to youth under 18 at any time.;G;No room keys will be issued to youth under 18 at any time.;G;No room keys will be issued to youth under 18 at any time.;G
9;0;G;Extra copies of these rules are available at the Front Desk upon request.;G;Extra copies of these rules are available at the Front Desk upon request.;G;Extra copies of these rules are available at the Front Desk upon request.;G;Extra copies of these rules are available at the Front Desk upon request.;G;Extra copies of these rules are available at the Front Desk upon request.;G;Extra copies of these rules are available at the Front Desk upon request.;G;Where can guests obtain extra copies of these rules if needed?;Extra copies of these rules are available at the Front Desk upon request.;Extra copies of these rules are available at the Front Desk upon request.;G;Extra copies of these rules are available at the Front Desk upon request.;G;Extra copies of these rules are available at the Front Desk upon request.;G
